OBJECTID,PointCount,ORIG_FID,POINT_X,POINT_Y,POINT_Z
217,116,20564,319938.406899999827147,100727.344699999317527,-0.271194083325099
218,327,34657,319933.636800000444055,100727.356899999082088,-0.280380416661501
219,102,19975,319932.746799999848008,100727.362999999895692,-0.131102499988629
220,327,34657,319929.253800000064075,100727.387399999424815,0.591337000005296
221,116,20564,319942.296199999749660,100727.399599999189377,-0.118963416665792
222,667,34696,319933.176500000059605,100727.429999999701977,-0.179986916657072
223,327,34657,319932.716300000436604,100727.433100000023842,-0.179986916657072
224,327,34657,319928.153400000184774,100727.469699999317527,0.609709666678100
225,116,20564,319939.504200000315905,100727.472699999809265,-0.149475166661432
226,102,19975,319933.892799999564886,100727.491000000387430,-0.259054999987711
227,116,20564,319924.331199999898672,100727.506200000643730,0.390221916677547
228,327,34657,319931.734799999743700,100727.506200000643730,-0.170800583320670
229,667,34696,319932.082299999892712,100727.512299999594688,-0.201312333330861
230,116,20564,319943.216699999757111,100727.512299999594688,0.131036083344952
231,327,34657,319927.141499999910593,100727.551999999210238,0.868567416677251
232,327,34657,319930.780799999833107,100727.582399999722838,-0.131102499988629
233,116,20564,319940.622800000011921,100727.582399999722838,-0.149475166661432
234,667,34696,319934.804200000129640,100727.597699999809265,-0.259054999987711
235,116,20564,319944.265200000256300,100727.600700000301003,-0.149475166661432
236,116,20564,319925.340099999681115,100727.603800000622869,0.258988583344035
237,667,34696,319931.012500000186265,100727.606799999251962,-0.170800583320670
238,327,34657,319926.029000000096858,100727.634299999102950,0.771126666673808
239,102,19975,319938.412999999709427,100727.634299999102950,-0.188845166660030
240,327,34657,319929.912100000306964,100727.637299999594688,0.179920499998843
241,667,34696,319930.000500000081956,100727.667799999937415,0.100524333334761
242,667,34696,319933.862300000153482,100727.670800000429153,-0.219356916655670
243,116,20564,319941.753600000403821,100727.698300000280142,-0.149475166661432
244,327,34657,319929.089200000278652,100727.704399999231100,0.631035083337338
245,116,20564,319945.222299999557436,100727.704399999231100,-0.109777083329391
246,327,34657,319924.779299999587238,100727.734799999743700,0.210432250009035
247,667,34696,319929.049499999731779,100727.734799999743700,0.539499833335867
248,116,20564,319926.160000000149012,100727.737900000065565,0.920404583332129
